,AWADHI,MAITHILI,MARATHI,SURJAPURI,HINDI,ENGLISH,HALBI,SHEKHAWATI,ODIA,DURUWA,AGARIYA,BENGALI,LAMBADI,BUNDELI,BHILI,MAGAHI,GARHWALI,SURGUJIA,BHOJPURI,MEWARI,ANGIKA,TULU,KANNADA,SADRI,MALAYALAM,TELUGU,KUMAONI,BAGRI,BHATRI,TAMIL,ASSAMESE,SANTALI,WAGDI,GUJARATI,URDU,KURUKH
Nyishi,1,9,34,4,86,0,6,0,0,0,0,19,0,0,1,0,13,0,27,0,0,1,12,0,0,6,0,0,0,0,0,0,0,0,0,0
Swedish,1,4,7,0,109,0,0,0,0,0,0,16,0,0,0,2,1,0,2,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,2,0
Southern Balochi,1,91,58,6,5004,0,25,0,0,0,0,148,0,7,0,33,234,7,69,0,23,0,36,9,0,17,24,0,1,0,0,0,0,0,28,8
Pedi,2,10,70,2,208,0,2,0,0,0,0,78,0,0,0,8,4,1,10,0,3,1,7,1,0,7,0,0,0,0,0,0,0,0,1,0
Northwestern Kolami,1,3,9,1,26,0,13,0,0,0,0,15,0,0,0,0,1,0,7,0,2,0,3,0,0,3,0,0,2,0,0,0,0,0,0,3
Malagasy,1,43,156,11,477,0,7,0,0,4,0,171,0,0,8,23,16,3,17,0,1,2,68,4,0,180,1,0,0,0,0,0,0,0,1,4
Interlingua (International Auxiliary Language Association),2,12,12,0,133,0,0,0,0,1,0,27,0,0,0,3,0,0,3,0,1,4,6,0,0,11,0,0,0,0,0,0,0,0,2,0
Khirwar,2,18,0,1,96,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Tangchangya,3,29,60,14,149,0,2,0,0,0,0,843,0,0,1,7,0,0,59,0,1,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0
Lenakel,1,2,0,1,37,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0
Santali,2,69,159,165,713,0,29,0,0,0,0,209,0,0,11,12,10,2,242,0,11,0,18,49,0,9,0,0,3,0,0,144,0,0,2,14
Indonesian,2,9,161,5,295,0,5,0,0,0,0,52,0,0,2,4,2,0,12,0,4,3,31,0,0,109,0,0,0,0,0,1,0,0,2,4
Mandeali,1,17,284,3,1591,0,25,1,0,0,0,234,0,5,0,23,238,2,89,0,8,1,37,0,0,17,6,0,0,0,0,0,0,0,4,1
Welsh,1,22,68,2,500,0,5,0,0,0,0,157,0,0,3,26,1,4,10,0,0,0,26,0,1,102,0,0,0,0,0,1,0,0,6,0
Kinnauri,1,1,18,0,17,0,18,0,0,0,0,16,0,0,8,0,3,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Sanskrit,6,196,868,23,4367,1,17,0,0,0,0,376,0,4,7,38,119,11,173,0,46,7,230,23,0,284,21,0,0,1,0,1,0,0,54,26
Luo (Kenya and Tanzania),1,13,39,3,203,0,3,0,0,1,0,133,0,1,1,5,5,0,12,0,1,0,5,1,0,19,0,0,0,0,0,0,0,0,2,0
Toaripi,1,2,0,0,44,0,1,0,0,0,0,7,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Rabha,3,1,26,1,50,0,0,0,0,0,0,93,0,0,0,0,0,0,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,5
Fijian,1,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Gumuz,2,1,1,0,12,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Korean,1,32,78,25,203,0,2,0,0,7,0,547,0,0,0,7,21,1,7,0,1,1,83,0,0,71,0,0,0,1,0,1,0,0,1,0
Hausa,2,42,212,5,856,0,4,0,0,0,0,183,0,0,4,22,46,4,28,0,9,15,74,2,0,120,0,0,0,0,0,2,0,0,8,0
Breton,1,15,25,1,316,0,2,0,0,0,0,33,0,0,0,14,4,1,21,0,4,1,31,0,0,34,0,0,0,0,0,0,0,0,1,0
Tajik,3,27,37,2,431,0,2,0,0,0,0,154,0,0,2,17,9,1,32,0,4,0,17,2,0,16,1,0,0,1,0,0,0,0,6,3
Tarao Naga,1,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Beami,1,2,4,0,59,0,0,0,0,0,0,24,0,0,1,2,2,1,6,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0
Maithili,2,2169,16,13,1724,0,9,0,0,0,0,36,0,1,0,347,14,6,899,0,303,0,1,5,0,0,0,0,0,0,0,1,0,0,10,0
Korwa,1,6,8,2,45,0,0,0,0,0,0,105,0,0,0,1,0,0,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
Dhundari,1,8,0,0,45,0,0,0,0,0,0,12,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ngaju,1,0,6,0,18,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
English,2,27,42,1,542,11,2,1,0,0,0,243,0,0,3,14,12,2,7,0,3,1,42,1,0,138,0,0,0,0,0,0,0,0,7,0
Huastec,1,0,5,0,23,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Busang Kayan,2,1,5,3,27,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,1
Chitwania Tharu,3,246,17,19,666,0,29,0,0,0,0,23,0,0,0,57,18,4,187,0,47,0,1,4,0,1,0,0,1,0,0,0,0,0,2,0
Georgian,1,11,30,2,70,0,1,0,0,0,0,110,0,0,0,5,2,1,6,0,2,0,4,0,0,13,0,0,1,0,0,0,0,0,2,0
Shona,4,26,81,2,519,0,5,0,0,0,0,249,0,0,6,23,5,6,20,0,2,4,16,0,0,76,0,0,0,0,0,1,0,0,1,0
Kuanua,2,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Thangmi,1,1,67,7,35,0,35,0,0,0,0,30,0,0,1,2,3,0,21,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0
Hmong Njua,1,4,12,0,36,0,0,0,0,0,0,19,0,1,1,3,0,0,7,0,1,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0
Central Tunebo,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
